date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,ol_room,ol_flower,ol_other,ol_goods,ol_total,od_room,od_flower,od_other,od_goods,od_total,w_count,w_food,w_drink,w_room,w_flower,w_total,seat_fee,flower,other,goods,grand_total
2023-04-26,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-27,木,4,18040,5555,23595,5898,7,86900,21450,108350,15478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131945
2023-04-28,金,35,134750,0,134750,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134750
2023-04-29,土,27,148830,40810,189640,7023,14,196900,59950,256850,18346,11000,0,0,0,11000,6600,0,0,0,6600,0,0,0,0,0,0,17600,0,0,0,464090
2023-04-30,日,21,107250,19140,126390,6018,7,64350,49660,114010,16287,6600,0,0,0,6600,3300,0,0,0,3300,0,0,0,0,0,0,9900,0,0,0,250300
2023-05-01,月,18,87120,13915,101035,5613,5,40150,6270,46420,9284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147455
2023-05-02,火,23,112200,20845,133045,5784,8,74250,9405,83655,10456,3300,0,0,0,3300,3300,0,0,0,3300,0,0,0,0,0,0,6600,0,0,0,223300
2023-05-03,水,22,103180,15235,118415,5382,8,92400,20100,112500,14062,0,0,0,0,0,6600,3000,0,0,9600,0,0,0,0,0,0,6600,3000,0,0,240515
2023-05-04,木,29,134750,33385,168135,5797,16,206800,54120,260920,16307,0,0,0,0,0,3300,3300,0,0,6600,0,0,0,0,0,0,3300,3300,0,0,435655
2023-05-05,金,35,182930,32560,215490,6156,27,303850,91335,395185,14636,0,0,0,2916,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,613591
2023-05-06,土,17,120670,18590,139260,8191,6,92400,22550,114950,19158,0,0,0,0,0,8800,0,0,0,8800,0,0,0,0,0,0,8800,0,0,0,263010
2023-05-07,日,19,102190,22000,124190,6536,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,127490
2023-05-08,月,50,192500,0,192500,3850,1,11000,1430,12430,12430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204930
2023-05-09,火,40,175120,28930,204050,5101,2,26400,8800,35200,17600,6600,0,0,0,6600,3300,0,0,0,3300,0,0,0,0,0,0,9900,0,0,0,249150
2023-05-10,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-11,木,4,18700,1980,20680,5170,18,216000,54000,270000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290680
2023-05-12,金,32,123200,17050,140250,4382,13,155650,91630,247280,19021,0,0,0,0,0,6600,0,0,0,6600,0,0,0,0,0,0,6600,0,0,0,394130
2023-05-13,土,17,106370,16005,122375,7198,10,83050,18469,101519,10151,0,0,0,0,0,3300,3300,0,0,6600,0,0,0,0,0,0,3300,3300,0,0,230494
2023-05-14,日,27,143550,32065,175615,6504,10,128700,29480,158180,15818,8800,0,0,0,8800,3300,0,0,0,3300,0,0,0,0,0,0,12100,0,0,0,345895
2023-05-15,月,5,21890,2145,24035,4807,7,70000,29800,99800,14257,3300,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,127135
2023-05-16,火,11,43670,4840,48510,4410,4,30800,16170,46970,11742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95480
2023-05-17,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-18,木,10,47080,9515,56595,5659,6,66000,22385,88385,14730,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,148280
2023-05-19,金,7,36740,5830,42570,6081,5,35450,12380,47830,9566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90400
2023-05-20,土,15,60390,19030,79420,5294,4,33000,11990,44990,11247,3300,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,127710
2023-05-21,日,27,117810,39325,157135,5819,68,612000,204000,816000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973135
2023-05-22,月,19,90530,18370,108900,5731,4,49500,5500,55000,13750,0,0,0,972,972,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,972,168172
2023-05-23,火,37,146740,14575,161315,4359,7,99000,17160,116160,16594,3300,0,0,0,3300,6600,3300,0,0,9900,0,0,0,0,0,0,9900,3300,0,0,290675
2023-05-24,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-25,木,14,68530,57995,126525,9037,22,223850,55605,279455,12702,0,0,30000,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,435980
2023-05-26,金,12,49500,4730,54230,4519,55,385000,165000,550000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604230
2023-05-27,土,35,176330,23925,200255,5721,14,147800,22660,170460,12175,0,0,0,0,0,6600,0,0,0,6600,0,0,0,0,0,0,6600,0,0,0,377315
2023-05-28,日,22,107140,41140,148280,6740,63,567000,189000,756000,12000,3300,0,0,0,3300,0,0,3600,0,3600,0,0,0,0,0,0,3300,0,3600,0,911180
2023-05-29,月,17,78650,17435,96085,5652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96085
2023-05-30,火,5,21890,2640,24530,4906,9,99000,29700,128700,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153230
2023-05-31,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01,木,51,245850,90000,335850,6585,2,14300,1265,15565,7782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351415
2023-06-02,金,4,18040,4180,22220,5555,16,176100,50960,227060,14191,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,252580
2023-06-03,土,12,53780,9405,63185,5265,16,173800,52855,226655,14165,0,0,0,0,0,6600,0,0,0,6600,0,0,0,0,0,0,6600,0,0,0,296440
2023-06-04,日,23,107030,19415,126445,5497,2,33000,2255,35255,17627,14300,0,0,0,14300,0,0,0,0,0,0,0,0,0,0,0,14300,0,0,0,176000
2023-06-05,月,3,11550,880,12430,4143,7,77000,26455,103455,14779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115885
2023-06-06,火,24,129690,40315,170005,7083,2,33000,13970,46970,23485,13200,0,0,0,13200,3300,0,0,0,3300,0,0,0,0,0,0,16500,0,0,0,233475
2023-06-07,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,木,10,45100,15565,60665,6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60665
2023-06-09,金,41,188540,50435,238975,5828,2,26400,2585,28985,14492,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,271260
2023-06-10,土,23,131450,39765,171215,7444,18,246700,51445,298145,16563,33000,0,0,0,33000,3300,0,0,0,3300,0,0,0,0,0,0,36300,0,0,0,505660
2023-06-11,日,10,47740,17105,64845,6484,30,297300,82810,380110,12670,0,0,0,0,0,3300,3300,0,0,6600,0,0,0,0,0,0,3300,3300,0,0,451555
2023-06-12,月,24,103510,18260,121770,5073,5,55000,26345,81345,16269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203115
2023-06-13,火,16,98560,25080,123640,7727,71,601500,195000,796500,11218,33000,0,0,0,33000,0,0,0,0,0,0,0,0,0,0,0,33000,0,0,0,953140
2023-06-14,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-15,木,15,70950,27610,98560,6570,21,154600,38930,193530,9215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292090
2023-06-16,金,14,76340,13145,89485,6391,7,62150,19250,81400,11628,7700,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,7700,0,0,0,178585
2023-06-17,土,40,165800,40685,206485,5162,52,312000,0,312000,6000,7700,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,7700,0,0,0,526185
2023-06-18,日,35,149930,40755,190685,5448,10,114400,23870,138270,13827,5500,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0,334455
2023-06-19,月,14,59840,5500,65340,4667,2,26400,4620,31020,15510,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,99660
