date,weekday,sekki,level,season,season_pt,kf1_constant,weekday_idx,mp_sekki,l_count,d_count,total_count,grand_total
2025-06-15,日,芒種,16,LOW SEASON,2.50,3.58,4.00,3.22,8,10,18,279950
2025-06-16,月,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,4,3,7,81840
2025-06-17,火,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,3,0,3,18480
2025-06-18,水,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,5,2,7,84590
2025-06-19,木,芒種,16,LOW SEASON,2.50,3.58,3.00,3.22,7,2,9,126500
2025-06-20,金,芒種,16,LOW SEASON,2.50,3.58,4.00,3.22,7,14,21,361350
2025-06-21,土,夏至,7,HIGH SEASON,4.00,3.58,5.00,3.73,7,20,27,400430
2025-06-22,日,夏至,7,HIGH SEASON,4.00,3.58,4.00,3.73,9,9,18,179030
2025-06-23,月,夏至,7,HIGH SEASON,4.00,3.58,2.00,3.73,0,11,11,310860
2025-06-24,火,夏至,7,HIGH SEASON,4.00,3.58,2.00,3.73,12,2,14,127990
2025-06-25,水,夏至,7,HIGH SEASON,4.00,3.58,2.00,3.73,10,4,14,322860
2025-06-26,木,夏至,7,HIGH SEASON,4.00,3.58,3.00,3.73,6,2,8,70510
2025-06-27,金,夏至,7,HIGH SEASON,4.00,3.58,4.00,3.73,2,17,19,366870
2025-06-28,土,夏至,7,HIGH SEASON,4.00,3.58,5.00,3.73,5,17,22,417890
2025-06-29,日,夏至,7,HIGH SEASON,4.00,3.58,4.00,3.73,12,6,18,190740
2025-06-30,月,夏至,7,HIGH SEASON,4.00,3.58,2.00,3.73,4,4,8,146410
2025-07-01,火,夏至,7,HIGH SEASON,4.00,4.41,2.00,3.73,6,4,10,121000
2025-07-02,水,夏至,7,HIGH SEASON,4.00,4.41,2.00,3.73,13,2,15,138160
2025-07-03,木,夏至,7,HIGH SEASON,4.00,4.41,3.00,3.73,16,16,32,326900
2025-07-04,金,夏至,7,HIGH SEASON,4.00,4.41,4.00,3.73,9,7,16,175120
2025-07-05,土,夏至,7,HIGH SEASON,4.00,4.41,5.00,3.73,5,9,14,262580
2025-07-06,日,夏至,7,HIGH SEASON,4.00,4.41,4.00,3.73,9,1,10,137170
2025-07-07,月,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,14,8,22,293040
2025-07-08,火,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,10,10,20,387640
2025-07-09,水,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,11,8,19,242220
2025-07-10,木,小暑,5,TOP SEASON,4.33,4.41,3.00,4.00,6,3,9,111540
2025-07-11,金,小暑,5,TOP SEASON,4.33,4.41,4.00,4.00,9,10,19,269500
2025-07-12,土,小暑,5,TOP SEASON,4.33,4.41,5.00,4.00,12,2,14,113630
2025-07-13,日,小暑,5,TOP SEASON,4.33,4.41,4.00,4.00,10,4,14,173470
2025-07-14,月,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,8,9,17,268620
2025-07-15,火,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,8,14,22,366250
2025-07-16,水,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,17,9,26,267940
2025-07-17,木,小暑,5,TOP SEASON,4.33,4.41,3.00,4.00,17,8,25,293590
2025-07-18,金,小暑,5,TOP SEASON,4.33,4.41,4.00,4.00,9,2,11,99770
2025-07-19,土,小暑,5,TOP SEASON,4.33,4.41,5.00,4.00,15,8,23,292820
2025-07-20,日,小暑,5,TOP SEASON,4.33,4.41,4.00,4.00,13,13,26,374440
2025-07-21,月,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,7,2,9,81730
2025-07-22,火,小暑,5,TOP SEASON,4.33,4.41,2.00,4.00,3,2,5,78980
2025-07-23,水,大暑,6,HIGH SEASON,4.17,4.41,2.00,3.93,12,2,14,120670
2025-07-24,木,大暑,6,HIGH SEASON,4.17,4.41,3.00,3.93,5,12,17,295130
2025-07-25,金,大暑,6,HIGH SEASON,4.17,4.41,4.00,3.93,2,8,10,144320
2025-07-26,土,大暑,6,HIGH SEASON,4.17,4.41,5.00,3.93,9,10,19,332860
2025-07-27,日,大暑,6,HIGH SEASON,4.17,4.41,4.00,3.93,11,24,35,461640
2025-07-28,月,大暑,6,HIGH SEASON,4.17,4.41,2.00,3.93,19,4,23,231440
2025-07-29,火,大暑,6,HIGH SEASON,4.17,4.41,2.00,3.93,14,4,18,233530
2025-07-30,水,大暑,6,HIGH SEASON,4.17,4.41,2.00,3.93,12,2,14,129030
2025-07-31,木,大暑,6,HIGH SEASON,4.17,4.41,3.00,3.93,8,5,13,165880
2025-08-01,金,大暑,6,HIGH SEASON,4.17,4.47,4.00,3.93,10,2,12,106700
2025-08-02,土,大暑,6,HIGH SEASON,4.17,4.47,5.00,3.93,7,8,15,200420
2025-08-03,日,大暑,6,HIGH SEASON,4.17,4.47,4.00,3.93,8,2,10,97680
2025-08-04,月,大暑,6,HIGH SEASON,4.17,4.47,2.00,3.93,3,0,3,43560
