date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,l_room_fee,l_flower,d_room_fee,d_flower,event_count,event_food,event_drink,event_room_fee,event_flower,event_total,grand_total
2023-04-28,金,1,35,3500,0,134750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,土,7,27,5011,1374,189640,5,14,12785,3892,256850,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,日,6,21,4642,828,126390,3,7,8357,6449,114010,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,月,8,18,4400,702,101035,1,5,7300,1140,46420,0,0,0,0,0,0,0,0,0,0,0
2023-05-02,火,12,23,4434,823,133045,3,8,8437,1068,83655,0,0,0,0,0,0,0,0,0,0,0
2023-05-03,水,10,22,4263,629,118415,4,8,10500,2284,112500,0,0,0,0,0,0,0,0,0,0,0
2023-05-04,木,11,29,4224,1046,168135,5,16,11750,3075,260920,0,0,0,0,0,0,0,0,0,0,0
2023-05-05,金,11,35,4751,845,215490,3,27,10230,3075,395185,0,0,0,0,0,0,0,0,0,0,0
2023-05-06,土,4,17,6452,994,139260,2,6,14000,3416,114950,0,0,0,0,0,0,0,0,0,0,0
2023-05-07,日,7,19,4889,1052,124190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-08,月,1,50,3500,0,192500,1,1,10000,1300,12430,0,0,0,0,0,0,0,0,0,0,0
2023-05-09,火,8,40,3980,657,204050,1,2,12000,4000,35200,0,0,0,0,0,0,0,0,0,0,0
2023-05-10,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-11,木,2,4,4250,450,20680,1,18,10909,2727,270000,0,0,0,0,0,0,0,0,0,0,0
2023-05-12,金,1,32,3500,484,140250,3,13,10884,6407,247280,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,土,6,17,5688,855,122375,3,10,7550,1679,101519,0,4000,1360,4000,0,0,0,0,0,0,0
2023-05-14,日,10,27,4833,1079,175615,4,10,11700,2680,158180,0,0,0,0,0,0,0,0,0,0,0
2023-05-15,月,2,5,3980,390,24035,1,7,9090,3870,99800,0,0,0,0,0,0,0,0,0,0,0
2023-05-16,火,4,11,3609,400,48510,1,4,7000,3675,46970,0,0,0,0,0,0,0,0,0,0,0
2023-05-17,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-18,木,4,10,4280,865,56595,3,6,10000,3391,88385,0,0,0,0,0,0,0,0,0,0,0
2023-05-19,金,3,7,4771,757,42570,2,5,6445,2250,47830,0,0,0,0,0,0,0,0,0,0,0
2023-05-20,土,5,15,3660,1153,79420,2,4,7500,2725,44990,0,0,0,0,0,0,0,0,0,0,0
2023-05-21,日,5,27,3966,1324,157135,1,68,8181,2727,816000,0,0,0,0,0,0,0,0,0,0,0
2023-05-22,月,8,19,4331,878,108900,2,4,11250,1250,55000,0,0,0,2800,0,0,0,0,0,0,0
2023-05-23,火,7,37,3605,358,161315,3,7,12857,2228,116160,0,0,0,0,0,0,0,0,0,0,0
2023-05-24,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-25,木,5,14,4450,3765,126525,6,22,9250,2297,279455,0,0,0,0,0,0,0,0,0,0,0
2023-05-26,金,5,12,3750,358,54230,1,55,6363,2727,550000,0,0,0,0,0,0,0,0,0,0,0
2023-05-27,土,11,35,4580,621,200255,6,14,9597,1471,170460,0,0,0,0,0,0,0,0,0,0,0
2023-05-28,日,8,22,4427,1700,148280,1,63,8181,2727,756000,0,0,0,0,0,0,0,0,0,0,0
2023-05-29,月,8,17,4205,932,96085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-30,火,2,5,3980,480,24530,1,9,10000,3000,128700,0,0,0,0,0,0,0,0,0,0,0
2023-05-31,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01,木,2,51,4382,1604,335850,1,2,6500,575,15565,0,0,0,0,0,0,0,0,0,0,0
2023-06-02,金,2,4,4100,950,22220,3,16,10005,2895,227060,0,0,0,0,0,0,0,0,0,0,0
2023-06-03,土,5,12,4074,712,63185,5,16,9875,3003,226655,0,0,0,0,0,0,0,0,0,0,0
2023-06-04,日,5,23,4230,767,126445,1,2,15000,1025,35255,0,0,0,0,0,0,0,0,0,0,0
2023-06-05,月,1,3,3500,266,12430,1,7,10000,3435,103455,0,0,0,0,0,0,0,0,0,0,0
2023-06-06,火,6,24,4912,1527,170005,1,2,15000,6350,46970,0,0,0,0,0,0,0,0,0,0,0
2023-06-07,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,木,3,10,4100,1415,60665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-09,金,10,41,4180,1118,238975,1,2,12000,1175,28985,0,0,0,0,0,0,0,0,0,0,0
2023-06-10,土,6,23,5195,1571,171215,4,18,12459,2598,298145,0,0,0,0,0,0,0,0,0,0,0
2023-06-11,日,5,10,4340,1555,64845,4,30,9009,2509,380110,0,0,0,0,0,0,0,0,0,0,0
2023-06-12,月,10,24,3920,691,121770,1,5,10000,4790,81345,0,0,0,0,0,0,0,0,0,0,0
2023-06-13,火,3,16,5600,1425,123640,1,71,7701,2496,796500,0,0,0,0,0,0,0,0,0,0,0
2023-06-14,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-15,木,3,15,4300,1673,98560,3,21,6692,1685,193530,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,金,5,14,4957,853,89485,3,7,8071,2500,81400,0,0,0,0,0,0,0,0,0,0,0
2023-06-17,土,7,40,3768,924,206485,1,52,5454,0,312000,0,0,0,0,0,0,0,0,0,0,0
2023-06-18,日,10,35,3894,1058,190685,5,10,10400,2170,138270,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,月,5,14,3885,357,65340,1,2,12000,2100,31020,0,0,0,0,0,0,0,0,0,0,0
2023-06-20,火,1,33,3500,0,127050,1,61,8452,2727,750150,0,0,0,0,0,0,0,0,0,0,0
2023-06-21,水,0,0,0,0,0,1,15,25000,5000,495000,0,0,0,0,0,0,0,0,0,0,0
2023-06-22,木,7,33,3626,1225,176160,2,31,7126,2841,339900,0,0,0,0,0,0,0,0,0,0,0
2023-06-23,金,2,25,4065,1909,164310,3,33,9207,2679,431500,0,0,0,0,0,0,0,0,0,0,0
2023-06-24,土,8,33,5100,809,214500,4,7,11500,2757,109780,0,0,0,0,0,0,0,0,0,0,0
2023-06-25,日,9,51,4541,1350,330495,2,11,10000,1259,136235,0,0,0,2600,0,0,0,0,0,0,0
2023-06-26,月,4,38,4831,1539,266310,2,9,7202,1248,83665,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,火,5,9,4433,694,50765,2,70,7694,2493,784500,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,木,7,39,4159,849,214900,3,35,7432,3566,423470,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,金,4,26,4192,1151,152845,3,8,9250,3087,108570,0,4400,2640,4400,0,0,0,0,0,0,0
2023-07-01,土,1,53,4272,858,299145,5,16,10687,2903,239195,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,日,8,24,3433,626,107200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-03,月,5,9,4244,738,49335,4,9,12111,1815,137875,0,0,0,0,0,0,0,0,0,0,0
2023-07-04,火,6,26,3915,1351,150645,3,7,9642,3814,103620,0,0,0,0,0,0,0,0,0,0,0
2023-07-05,水,1,35,4077,1504,214940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-06,木,2,4,4100,1100,22880,2,4,11500,2112,59895,0,0,0,0,0,0,0,0,0,0,0
2023-07-07,金,2,5,4700,1080,31790,5,12,9375,2383,155210,0,0,0,0,0,0,0,0,0,0,0
2023-07-08,土,3,4,2625,925,15620,8,21,8595,1166,225500,0,0,0,0,0,0,0,0,0,0,0
2023-07-09,日,11,28,3842,798,142945,5,10,10500,1810,135410,0,0,0,0,0,0,0,0,0,0,0
2023-07-10,月,7,32,4069,1516,196645,4,8,9250,3018,107965,0,0,0,0,0,0,0,0,0,0,0
2023-07-11,火,6,26,3821,1191,143365,1,2,6500,2275,19305,0,0,0,0,0,0,0,0,0,0,0
2023-07-12,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-13,木,5,13,4407,1169,79750,4,10,11800,2320,155320,0,0,0,0,0,0,0,0,0,0,0
2023-07-14,金,6,21,5228,2328,174570,1,40,5454,1818,320000,0,0,0,0,0,0,0,0,0,0,0
2023-07-15,土,5,44,4379,576,239855,3,34,7606,2613,382230,0,0,0,0,0,0,0,0,0,0,0
2023-07-16,日,0,0,0,0,0,1,48,14057,2556,877210,0,0,0,0,0,0,0,0,0,0,0
2023-07-17,月,9,38,4091,794,204260,5,12,9333,2032,150030,0,0,0,0,0,0,0,0,0,0,0
