store,date,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales
BQ,2025-07-20,13,114400,8800,13,241890,18607,0,0,0,0,0,0,3,15950,91,128860,0,0,120,501100
BQ,2025-07-21,7,64130,9161,2,0,0,0,0,0,0,0,0,4,17600,97,139610,0,0,110,221340
BQ,2025-07-22,3,28930,9643,2,39930,19965,0,0,0,0,0,0,2,10120,57,83510,0,0,64,162490
BQ,2025-07-23,12,74470,6206,2,46200,23100,0,0,0,0,0,0,0,0,62,83120,0,0,76,203790
BQ,2025-07-24,5,33220,6644,12,261910,21826,0,0,0,0,0,0,0,0,67,98230,0,0,84,393360
BQ,2025-07-25,2,14300,7150,8,130020,16252,0,0,0,0,0,0,0,0,291,248720,0,0,301,393040
BQ,2025-07-26,9,90640,10071,10,233420,23342,0,0,0,0,0,0,2,8800,123,176940,0,0,144,509800
BQ,2025-07-27,11,92840,8440,24,360000,15000,0,0,0,0,0,0,2,8800,111,180350,0,0,148,641990
BQ,2025-07-28,19,172370,9072,4,59070,14768,0,0,0,0,0,0,0,0,65,83290,0,0,88,314730
BQ,2025-07-29,14,175560,12540,4,57970,14492,0,0,0,0,0,0,0,0,55,74870,0,0,73,308400
BQ,2025-07-30,12,82940,6912,2,37290,18645,0,0,0,0,0,0,2,8800,84,127600,0,0,100,256630
BQ,2025-07-31,8,80740,10092,5,85140,17028,0,0,0,0,0,0,0,0,87,126840,0,0,100,292720
BQ,2025-08-01,10,65450,6545,2,41250,20625,0,0,0,0,0,0,0,0,116,138950,0,0,128,245650
BQ,2025-08-02,7,58300,8329,8,142120,17765,0,0,0,0,0,0,0,0,112,146030,0,0,127,346450
BQ,2025-08-03,8,61490,7686,2,27390,13695,0,0,0,0,0,0,2,8800,104,131000,0,0,116,228680
BQ,2025-08-04,3,34760,11587,0,0,0,0,0,0,0,0,0,2,8800,62,81940,0,0,67,125500
BQ,2025-08-05,13,110330,8487,6,126500,21083,0,0,0,0,0,0,2,8800,85,113060,0,0,106,358690
BQ,2025-08-06,14,97680,6977,18,372900,20717,0,0,0,0,0,0,4,17600,88,115690,0,0,124,603870
BQ,2025-08-07,11,78540,7140,9,153070,17008,0,0,0,0,0,0,0,0,80,106360,0,0,100,337970
BQ,2025-08-08,3,23760,7920,13,252340,19411,0,0,0,0,0,0,2,8800,296,287560,0,0,314,572460
BQ,2025-08-09,16,168410,10526,18,361010,20056,0,0,0,0,0,0,5,22000,88,138620,0,0,127,690040
BQ,2025-08-10,17,279950,16468,9,240350,26706,0,0,0,0,0,0,0,0,73,102320,0,0,99,622620
BQ,2025-08-11,13,119570,9198,3,37500,12500,0,0,0,0,0,0,2,8800,79,116370,0,0,97,282240
BQ,2025-08-12,16,149270,9329,10,190410,19041,0,0,0,0,0,0,5,22000,110,168940,0,0,141,530620
BQ,2025-08-13,8,71830,8979,6,84260,14043,0,0,0,0,0,0,4,17600,91,123710,0,0,109,297400
BQ,2025-08-14,11,80300,7300,10,289520,28952,0,0,0,0,0,0,0,0,82,115640,0,0,103,485460
BQ,2025-08-15,9,77770,8641,6,131890,21982,0,0,0,0,0,0,0,0,131,175720,0,0,146,385380
BQ,2025-08-16,9,73260,8140,8,162690,20336,0,0,0,0,0,0,3,13200,77,116700,0,0,97,365850
BQ,2025-08-17,18,183810,10212,3,49170,16390,0,0,0,0,0,0,2,8800,93,140330,0,0,116,382110
BQ,2025-08-18,4,29590,7398,0,0,0,0,0,0,0,0,0,4,19800,52,66140,0,0,60,115530
BQ,2025-08-19,13,88440,6803,4,92400,23100,0,0,0,0,0,0,0,0,64,87000,0,0,81,267840
BQ,2025-08-20,7,67760,9680,14,261690,18692,0,0,0,0,0,0,4,17600,76,100480,0,0,101,447530
BQ,2025-08-21,12,87890,7324,7,157300,22471,0,0,0,0,0,0,0,0,61,88720,0,0,80,333910
BQ,2025-08-22,6,65560,10927,9,196790,21866,0,0,0,0,0,0,4,18480,93,108610,0,0,112,389440
BQ,2025-08-23,11,102960,9360,29,432240,14905,0,0,0,0,0,0,0,0,107,147230,0,0,147,682430
BQ,2025-08-24,17,143880,8464,8,163130,20391,0,0,0,0,0,0,2,8800,104,156450,0,0,131,472260
BQ,2025-08-25,4,40480,10120,6,224400,37400,0,0,0,0,0,0,2,8800,48,63580,0,0,60,337260
BQ,2025-08-26,14,90970,6498,3,79750,26583,0,0,0,0,0,0,0,0,45,56850,0,0,62,227570
BQ,2025-08-27,0,0,0,3,50490,16830,0,0,0,0,0,0,4,20020,63,78380,0,0,70,148890
BQ,2025-08-28,7,48290,6899,0,0,0,0,0,0,0,0,0,0,0,77,109280,0,0,84,157570
